"pers_no","date","organizational_unit","location","pers_count","years"
3249,2014-05-12,"Human Resources Business Partnering","Sydney",1,2014
3250,2014-05-19,"","Melbourne",1,2014
3250,2014-05-19,"Regional Integrated Operations","Melbourne",1,2014
3251,2014-06-02,"Human Resources","Melbourne",1,2014
3251,2014-06-02,"Human Resources","Melbourne",1,2014
3252,2014-06-02,"Sales & Marketing O-I Australia","Melbourne",1,2014
3253,2014-06-02,"Sales & Marketing O-I Australia","Melbourne",1,2014
3253,2014-06-02,"Sales & Marketing O-I Australia","Melbourne",1,2014
3254,2014-06-10,"Operational Advancement","Melbourne",1,2014
3255,2014-06-10,"Monthly Reporting and Planning","Melbourne",1,2014
3255,2014-06-10,"Monthly Reporting and Planning","Melbourne",1,2014
3256,2014-06-02,"Mould Repair","Brisbane",1,2014
3257,2014-06-16,"Electrical Services","Brisbane",1,2014
3258,2014-06-16,"Electrical Services","Brisbane",1,2014
3259,2014-05-26,"Integrated Systems and Risk","Brisbane",1,2014
3260,2014-06-16,"Procurement","Melbourne",1,2014
3261,2014-07-07,"Plant Reliability","Adelaide",1,2014
3262,2014-06-30,"Procurement","Adelaide",1,2014
3263,2014-07-07,"Distribution - Queensland","Brisbane",1,2014
3263,2014-07-07,"Distribution - Queensland","Brisbane",1,2014
3264,2014-07-08,"Customer Services","Melbourne",1,2014
3264,2014-07-08,"Customer Services","Melbourne",1,2014
3264,2014-07-08,"Quantum_OTC","Melbourne",1,2014
3265,2014-08-04,"Distribution - Queensland","Brisbane",1,2014
3265,2014-08-04,"Distribution - Queensland","Brisbane",1,2014
3266,2014-07-21,"Corporate Accounting","Melbourne",1,2014
3266,2014-07-21,"Corporate Accounting","Melbourne",1,2014
3267,2014-07-21,"New Product Development","Melbourne",1,2014
3268,2014-08-11,"Business Planning","Melbourne",1,2014
3268,2014-08-11,"Business Planning","Melbourne",1,2014
3268,2014-08-11,"Business Planning","Melbourne",1,2014
3269,2014-08-11,"IS Repair","Melbourne",1,2014
3270,2014-08-25,"Integrated Systems and Risk","Brisbane",1,2014
3271,2014-08-25,"UPM4 D Shift","Melbourne",1,2014
3272,2014-07-28,"Service Desk AP","Melbourne",1,2014
3273,2014-09-08,"Human Resources","Sydney",1,2014
3273,2014-09-08,"Human Resources O-I Asia Pacific","Sydney",1,2014
3274,2014-08-20,"Integrated Systems & Risk","Adelaide",1,2014
3275,2014-09-08,"General Maintenace","Melbourne",1,2014
3276,2014-09-08,"General Maintenace","Melbourne",1,2014
3276,2014-09-08,"General Maintenace","Melbourne",1,2014
3276,2014-09-08,"General Maintenace","Melbourne",1,2014
3277,2014-09-08,"General Maintenace","Melbourne",1,2014
3277,2014-09-08,"General Maintenace","Melbourne",1,2014
3278,2014-09-03,"Commercial","Melbourne",1,2014
3278,2014-09-03,"Commercial","Melbourne",1,2014
3278,2014-09-03,"Commercial","Melbourne",1,2014
3278,2014-09-03,"Shared Services","Melbourne",1,2014
3279,2014-09-22,"Plant Reliability","Brisbane",1,2014
3279,2014-09-22,"Plant Reliability","Brisbane",1,2014
3280,2014-09-29,"Human Resources","Melbourne",1,2014
3281,2014-10-07,"Electrical Services","Brisbane",1,2014
3281,2014-10-07,"Inspection & Packaging Engineering","Brisbane",1,2014
3281,2014-10-07,"Inspection & Packaging Engineering","Brisbane",1,2014
3282,2014-10-13,"General Maintenace","Melbourne",1,2014
3282,2014-10-13,"General Maintenace","Melbourne",1,2014
3282,2014-10-13,"IS Repair","Melbourne",1,2014
3283,2014-10-13,"Electrical Maintenance","Melbourne",1,2014
3284,2014-10-01,"Operational Advancement","Melbourne",1,2014
3285,2014-10-20,"Electrical Services","Brisbane",1,2014
3286,2014-10-20,"Mould Repair","Brisbane",1,2014
3287,2014-11-03,"Human Resources","Brisbane",1,2014
3288,2014-11-03,"Integrated Systems and Risk","Melbourne",1,2014
3290,2014-10-20,"Plant Reliability","Melbourne",1,2014
3291,2014-11-10,"Business Services","Brisbane",1,2014
3292,2014-11-13,"Commercial Accounting","Melbourne",1,2014
3293,2014-12-01,"Electrical Services","Brisbane",1,2014
3293,2014-12-01,"Inspection & Packaging Engineering","Brisbane",1,2014
3293,2014-12-01,"Inspection & Packaging Engineering","Brisbane",1,2014
3294,2014-12-15,"Integrated Systems and Risk","Brisbane",1,2014
3295,2014-12-15,"Pack Centre","Melbourne",1,2014
3295,2014-12-15,"Integrates Systems and Risk C Shift","Melbourne",1,2014
3296,2014-12-15,"Mould Repair","Sydney",1,2014
3298,2015-01-05,"Inspection & Packaging Engineering","Brisbane",1,2015
3299,2015-01-19,"Plant Reliability Sydney","Sydney",1,2015
3301,2015-02-02,"Mould Repair","Brisbane",1,2015
3302,2015-02-02,"Forming Job Change","Sydney",1,2015
3303,2015-01-28,"Supply Chain","Melbourne",1,2015
3304,2015-02-02,"O-I Australia","Melbourne",1,2015
3304,2015-02-02,"Sales & Marketing O-I Australia","Melbourne",1,2015
3304,2015-02-02,"","Melbourne",1,2015
3305,2015-02-02,"Batch & Furnace","Melbourne",1,2015
3307,2015-02-16,"B Shift","Brisbane",1,2015
3308,2015-03-01,"Applications","Adelaide",1,2015
3308,2015-03-01,"Information Technology O-I AP","Adelaide",1,2015
3308,2015-03-01,"IT Operations","Adelaide",1,2015
3309,2015-02-27,"Mould Repair","Sydney",1,2015
3310,2015-03-09,"","Sydney",1,2015
3310,2015-03-09,"Plant Mechanical Sydney","Sydney",1,2015
3311,2015-03-11,"Mould Repair","Melbourne",1,2015
3312,2015-03-11,"Human Resources","Brisbane",1,2015
3312,2015-03-11,"Human Resources Brisbane","Brisbane",1,2015
3313,2015-03-23,"Plant Reliability","Brisbane",1,2015
3314,2015-03-23,"Forming Maintenance","Brisbane",1,2015
3315,2015-03-23,"Mould Repair","Brisbane",1,2015
3316,2015-04-07,"Batch & Furnace","Brisbane",1,2015
3317,2015-04-08,"Electrical Maintenance","Melbourne",1,2015
3318,2015-01-16,"Occupational Health & Safety","Melbourne",1,2015
3319,2015-04-07,"Plant Mechanical Maintenance","Brisbane",1,2015
3321,2015-04-07,"Forming Maintenance","Brisbane",1,2015
3322,2015-04-15,"Applications","Melbourne",1,2015
3323,2015-05-04,"Monthly Reporting and Planning","Melbourne",1,2015
3324,2015-04-27,"Distribution - Queensland","Brisbane",1,2015
3325,2015-04-27,"Distribution - Queensland","Brisbane",1,2015
3326,2015-04-27,"Inspection & Packaging Engineering","Brisbane",1,2015
3327,2015-05-04,"Distribution - Queensland","Brisbane",1,2015
3328,2015-05-25,"Unit Plant QG1","Brisbane",1,2015
3329,2015-05-25,"","Brisbane",1,2015
3330,2015-05-18,"Plant Reliability","Brisbane",1,2015
3330,2015-05-18,"Production Support","Brisbane",1,2015
3331,2015-05-11,"Monthly Reporting and Planning","Melbourne",1,2015
3331,2015-05-11,"Monthly Reporting and Planning","Melbourne",1,2015
3331,2015-05-11,"Australian Financial Operations","Melbourne",1,2015
3331,2015-05-11,"Monthly Reporting and Planning","Melbourne",1,2015
3332,2015-06-01,"Food & NAB Segment","Sydney",1,2015
3332,2015-06-01,"Food & NAB Segment","Sydney",1,2015
3332,2015-06-01,"Sales & Marketing O-I Australia","Sydney",1,2015
3334,2015-07-06,"Plant Reliability","Brisbane",1,2015
3335,2015-07-06,"Sales & Marketing O-I Australia","Melbourne",1,2015
3336,2015-07-06,"","Brisbane",1,2015
3336,2015-07-06,"Brisbane Cullet Pty Ltd","Brisbane",1,2015
3336,2015-07-06,"","Brisbane",1,2015
3337,2015-07-15,"Procurement","Melbourne",1,2015
3338,2015-07-20,"Commercial","Melbourne",1,2015
3339,2015-07-28,"Commercial Accounting","Melbourne",1,2015
3339,2015-07-28,"Commercial Accounting","Melbourne",1,2015
3339,2015-07-28,"Commercial Accounting","Melbourne",1,2015
3339,2015-07-28,"Management Accounting","Melbourne",1,2015
3339,2015-07-28,"Project Quantum","Melbourne",1,2015
3339,2015-07-28,"Quantum_RTR","Melbourne",1,2015
3340,2015-08-03,"Applications","Melbourne",1,2015
3340,2015-08-03,"Applications","Melbourne",1,2015
3340,2015-08-03,"IT Operations","Melbourne",1,2015
3341,2015-07-29,"","Brisbane",1,2015
3341,2015-07-29,"Brisbane Cullet Pty Ltd","Brisbane",1,2015
3341,2015-07-29,"Cullet Operations","Brisbane",1,2015
3341,2015-07-29,"Brisbane Cullet","Brisbane",1,2015
3343,2015-09-07,"Distribution","Sydney",1,2015
3343,2015-09-07,"ANZ Logistics","Sydney",1,2015
3344,2015-09-01,"Business Services","Sydney",1,2015
3344,2015-09-01,"Business Services","Sydney",1,2015
3344,2015-09-01,"Business Services","Sydney",1,2015
3344,2015-09-01,"Human Resources Business Partnering","Sydney",1,2015
