"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
10000631,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1220,"NZ Maint - General","Plant Maintenance","16/09/2013","16/03/2014","","Plant Maintenance Fitter (Temporary)","16/09/2013"
10000632,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","11/11/2013","2/08/2014","","Forming Services Fitter","11/11/2013"
10000633,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products B Shift","11/11/2013","11/01/2014","","Multi-Skilled Operator Trainee","11/11/2013"
10000634,"Hire Employee","Fill temporary absence",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales","25/11/2013","10/04/2015","","Temporary Customer Service Supervisor","25/11/2013"
10000634,"Rehire","Fill temporary absence",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Purchasing","15/04/2015","13/11/2015","","Temporary Procurement Specialist","15/04/2015"
10000635,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products C Shift","2/12/2013","2/08/2014","","Multi-Skilled Operator Trainee","2/12/2013"
10000636,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Manufacturing","9/12/2013","23/08/2015","","Unit Plant Manager","9/12/2013"
10000636,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Unit Plant Management","9/12/2013","23/08/2015","","Unit Plant Manager","9/12/2013"
10000637,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Day Glass",1210,"NZ Mould Repairs","Forming Services","9/12/2013","2/08/2014","","Forming Services Fitter","9/12/2013"
10000638,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Wages Other",1580,"NZ Warehousing","Supply Chain","8/01/2014","21/01/2014","","Temporary Cullet Tester","8/01/2014"
10000639,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","28/01/2014","6/11/2015","","Pricing and Business Analyst","28/01/2014"
10000639,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1360,"NZ Sales","Sales & Marketing","28/01/2014","6/11/2015","","Pricing and Business Analyst","28/01/2014"
10000640,"Hire Employee","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Wages Other",1580,"NZ Warehousing","Supply Chain","3/02/2014","25/02/2014","","Temporary Cullet Tester","3/02/2014"
