"pers_no","organizational_unit","date","turn_abs","location","years"
90003003,"Electrical",2007-11-01,1,"Jakarta",2007
90003006,"Electrical",2009-07-01,1,"Jakarta",2009
90003007,"Machine Maintenance",2008-03-01,1,"Jakarta",2008
90003008,"Human Resources",2008-09-01,1,"Jakarta",2008
90003009,"Human Resources",2008-01-20,1,"Jakarta",2008
90003010,"Finance",2018-02-01,1,"Jakarta",2018
90003012,"""D"" Shift Hot End",2008-06-10,1,"Jakarta",2008
90003019,"Batch & Furnace",2017-07-04,1,"Jakarta",2017
90003021,"Mechanical Engineering",2011-10-01,1,"Jakarta",2011
90003022,"Machine Maintenance",2019-06-24,1,"Jakarta",2019
90003023,"Batch & Furnace",2008-09-01,1,"Jakarta",2008
90003024,"Distribution",2016-08-05,1,"Jakarta",2016
90003025,"""C"" Shift Hot End",2008-10-01,1,"Jakarta",2008
90003026,"""D"" Shift Hot End",2008-10-01,1,"Jakarta",2008
90003027,"Batch & Furnace",2008-10-01,1,"Jakarta",2008
90003028,"Production Planning Inventory Control",2016-06-28,1,"Jakarta",2016
90003029,"Planning",2019-07-01,1,"Jakarta",2019
90003030,"Purchasing",2013-07-01,1,"Jakarta",2013
90003031,"Production Planning Inventory Control",2010-05-01,1,"Jakarta",2010
90003032,"""C"" Shift Hot End",2009-03-01,1,"Jakarta",2009
90003033,"""C"" Shift Hot End",2011-04-20,1,"Jakarta",2011
90003034,"Finance",2011-02-01,1,"Jakarta",2011
90003035,"Machine Maintenance",2010-05-13,1,"Jakarta",2010
90003036,"Mould Shop",2010-02-01,1,"Jakarta",2010
90003037,"Human Resources",2018-12-01,1,"Jakarta",2018
90003038,"Unit Plant 2",2015-07-18,1,"Jakarta",2015
90003039,"Electrical",2010-12-15,1,"Jakarta",2010
90003040,"Mechanical Engineering",2009-12-01,1,"Jakarta",2009
90003041,"Mechanical Engineering",2010-07-08,1,"Jakarta",2010
90003042,"Electrical",2011-08-01,1,"Jakarta",2011
90003043,"Batch & Furnace",2009-10-08,1,"Jakarta",2009
90003044,"Electrical",2009-12-01,1,"Jakarta",2009
90003045,"Procurement",2017-04-01,1,"Jakarta",2017
90003046,"Mould Shop",2010-02-01,1,"Jakarta",2010
90003047,"Batch & Furnace",2011-04-01,1,"Jakarta",2011
90003048,"Mechanical Engineering",2010-02-01,1,"Jakarta",2010
90003049,"Inspection Packaging",2010-02-01,1,"Jakarta",2010
90003050,"Machine Maintenance",2010-02-01,1,"Jakarta",2010
90003051,"Electrical",2010-02-01,1,"Jakarta",2010
90003052,"Machine Maintenance",2011-04-01,1,"Jakarta",2011
90003053,"""A"" Shift Hot End",2011-01-01,1,"Jakarta",2011
90003057,"Marketing & Sales",2011-01-01,1,"Jakarta",2011
90003058,"Plant Engineering",2010-08-01,1,"Jakarta",2010
90003059,"Inspection Packaging",2011-04-16,1,"Jakarta",2011
90003060,"Electrical",2010-06-03,1,"Jakarta",2010
90003061,"Batch & Furnace",2011-01-30,1,"Jakarta",2011
90003062,"Electrical",2011-02-26,1,"Jakarta",2011
90003063,"""C"" Shift Hot End",2010-05-01,1,"Jakarta",2010
90003068,"Human Resources",2010-11-01,1,"Jakarta",2010
90003070,"Batch & Furnace",2011-06-01,1,"Jakarta",2011
90003071,"Job Change",2019-06-28,1,"Jakarta",2019
90003072,"""B"" Shift Hot End",2011-02-01,1,"Jakarta",2011
90003073,"""C"" Shift Hot End",2010-11-01,1,"Jakarta",2010
90003074,"""D"" Shift Hot End",2010-11-22,1,"Jakarta",2010
90003075,"""C"" Shift Hot End",2011-06-01,1,"Jakarta",2011
90003077,"Plant Reliability",2019-01-04,1,"Jakarta",2019
90003079,"Batch & Furnace",2010-12-21,1,"Jakarta",2010
90003080,"""C"" Shift Hot End",2011-10-01,1,"Jakarta",2011
90003081,"Machine Maintenance",2010-11-22,1,"Jakarta",2010
90003082,"Mould Shop",2011-05-30,1,"Jakarta",2011
90003083,"Mechanical Engineering",2011-11-15,1,"Jakarta",2011
90003084,"Mechanical Engineering",2012-05-31,1,"Jakarta",2012
90003085,"Marketing & Sales",2011-01-01,1,"Jakarta",2011
90003086,"Human Resources",2017-06-01,1,"Jakarta",2017
90003087,"Batch & Furnace",2011-05-01,1,"Jakarta",2011
90003088,"Electrical",2014-08-15,1,"Jakarta",2014
90003089,"Electrical",2011-05-01,1,"Jakarta",2011
90003090,"Batch & Furnace",2011-10-15,1,"Jakarta",2011
90003092,"Machine Maintenance",2014-07-01,1,"Jakarta",2014
90003095,"Plant Engineering",2012-01-01,1,"Jakarta",2012
90003096,"Marketing & Sales",2012-11-01,1,"Jakarta",2012
90003097,"Batch & Furnace",2012-12-20,1,"Jakarta",2012
90003098,"Manufacturing",2017-03-01,1,"Jakarta",2017
90003103,"Mould Shop",2018-11-01,1,"Jakarta",2018
90003104,"Inspection Packaging",2017-09-01,1,"Jakarta",2017
90003105,"""A"" Shift Hot End",2011-08-01,1,"Jakarta",2011
90003106,"""B"" Shift Hot End",2012-03-23,1,"Jakarta",2012
90003108,"Unit Plant 1",2019-06-22,1,"Jakarta",2019
90003110,"Forming Engineering",2019-06-24,1,"Jakarta",2019
90003111,"Machine Maintenance",2019-06-27,1,"Jakarta",2019
90003114,"Line 11 Shift C",2018-05-01,1,"Jakarta",2018
90003115,"Line 21 Shift A",2014-10-17,1,"Jakarta",2014
90003116,"Inspection Packaging",2015-04-16,1,"Jakarta",2015
90003117,"Batch & Furnace",2012-03-01,1,"Jakarta",2012
90003120,"""C"" Shift Hot End",2012-03-01,1,"Jakarta",2012
90003122,"Line 24 Shift C",2014-06-01,1,"Jakarta",2014
90003124,"Electrical",2014-11-20,1,"Jakarta",2014
90003125,"Mechanical Engineering",2019-05-16,1,"Jakarta",2019
90003126,"Line 24 Shift A",2018-11-01,1,"Jakarta",2018
90003127,"""B"" Shift Hot End",2012-07-01,1,"Jakarta",2012
90003130,"Mechanical Engineering",2015-03-20,1,"Jakarta",2015
90003133,"Mechanical Engineering",2014-07-01,1,"Jakarta",2014
90003137,"Electrical",2014-11-01,1,"Jakarta",2014
90003139,"Job Change",2013-09-01,1,"Jakarta",2013
90003142,"""B"" Shift Hot End",2012-12-01,1,"Jakarta",2012
90003143,"Mould Shop",2013-02-01,1,"Jakarta",2013
90003144,"Job Change",2014-02-09,1,"Jakarta",2014
90003145,"Inspection Packaging",2012-12-01,1,"Jakarta",2012
90003147,"Marketing & Sales",2014-12-01,1,"Jakarta",2014
90003149,"Quality Service",2015-05-01,1,"Jakarta",2015
90003150,"Logistic & PPIC",2017-08-28,1,"Jakarta",2017
90003152,"Job Change",2013-11-11,1,"Jakarta",2013
90003153,"Production Planning Inventory Control",2014-09-15,1,"Jakarta",2014
90003154,"Job Change",2013-09-01,1,"Jakarta",2013
90003155,"Inspection Packaging",2013-08-20,1,"Jakarta",2013
90003156,"Manufacturing Process Capability Program",2017-07-16,1,"Jakarta",2017
90003157,"Manufacturing Process Capability Program",2014-12-01,1,"Jakarta",2014
90003159,"Line 12 Shift B",2013-11-01,1,"Jakarta",2013
90003161,"Line 14 Shift D",2013-12-01,1,"Jakarta",2013
90003162,"Mould Shop",2014-08-23,1,"Jakarta",2014
90003163,"Finance",2015-08-01,1,"Jakarta",2015
90003166,"Plant Reliability",2014-04-01,1,"Jakarta",2014
90003167,"Mechanical Engineering",2014-07-01,1,"Jakarta",2014
90003170,"Job Change",2016-01-01,1,"Jakarta",2016
90003171,"Line 11 Shift D",2016-01-20,1,"Jakarta",2016
90003172,"Line 11 Shift B",2014-03-01,1,"Jakarta",2014
90003173,"Line 12 Shift B",2014-03-01,1,"Jakarta",2014
90003174,"Machine Maintenance",2014-03-01,1,"Jakarta",2014
90003175,"PT Kangar Consolidated Industries",2018-03-16,1,"Jakarta",2018
90003180,"Marketing & Sales",2014-12-01,1,"Jakarta",2014
90003181,"Plant Reliability",2015-01-01,1,"Jakarta",2015
90003182,"Manufacturing",2015-06-01,1,"Jakarta",2015
90003183,"Manufacturing",2014-08-01,1,"Jakarta",2014
90003185,"Line 24 Shift C",2016-09-15,1,"Jakarta",2016
90003187,"Mould Shop",2014-11-01,1,"Jakarta",2014
90003188,"Machine Maintenance",2019-06-27,1,"Jakarta",2019
90003189,"Inspection Packaging",2015-04-01,1,"Jakarta",2015
90003192,"Line 21 Shift C",2018-06-01,1,"Jakarta",2018
90003197,"Line 24 Shift B",2014-12-01,1,"Jakarta",2014
90003198,"Line 22 Shift D",2014-12-01,1,"Jakarta",2014
90003199,"Quality Service",2015-09-01,1,"Jakarta",2015
90003200,"Quality Service",2015-03-01,1,"Jakarta",2015
90003203,"Batch & Furnace",2015-04-01,1,"Jakarta",2015
90003204,"Electrical",2016-06-13,1,"Jakarta",2016
90003207,"Inspection Packaging",2015-06-01,1,"Jakarta",2015
90003208,"Manufacturing",2015-06-01,1,"Jakarta",2015
90003209,"Manufacturing",2015-04-01,1,"Jakarta",2015
90003211,"Line 22 Shift D",2015-04-01,1,"Jakarta",2015
90003212,"Line 24 Shift D",2015-01-24,1,"Jakarta",2015
90003214,"Quality Service",2015-03-01,1,"Jakarta",2015
90003216,"Electrical",2015-04-01,1,"Jakarta",2015
90003217,"Marketing & Sales",2016-09-17,1,"Jakarta",2016
90003218,"Manufacturing",2015-07-06,1,"Jakarta",2015
90003219,"PT Kangar Consolidated Industries",2017-12-01,1,"Jakarta",2017
90003220,"Mechanical Engineering",2016-10-06,1,"Jakarta",2016
90003222,"Line 24 Shift D",2015-04-01,1,"Jakarta",2015
90003224,"Line 14 Shift A",2015-07-01,1,"Jakarta",2015
90003225,"Line 14 Shift B",2015-05-13,1,"Jakarta",2015
90003226,"Line 24 Shift B",2015-07-01,1,"Jakarta",2015
90003227,"Line 24 Shift D",2015-07-01,1,"Jakarta",2015
90003230,"Machine Line 24",2016-07-18,1,"Jakarta",2016
90003231,"Manufacturing",2016-05-01,1,"Jakarta",2016
90003232,"Marketing & Sales",2018-09-29,1,"Jakarta",2018
90003233,"Line 14 Shift C",2015-07-24,1,"Jakarta",2015
90003234,"Line 22 Shift D",2015-06-01,1,"Jakarta",2015
90003237,"Marketing & Sales",2017-01-14,1,"Jakarta",2017
90003239,"Manufacturing",2015-10-01,1,"Jakarta",2015
90003240,"Plant Reliability",2015-10-01,1,"Jakarta",2015
90003241,"Line 14 Shift B",2015-10-01,1,"Jakarta",2015
90003242,"Finance",2017-07-01,1,"Jakarta",2017
90003245,"Line 12 Shift C",2017-02-14,1,"Jakarta",2017
90003248,"Manufacturing",2016-02-01,1,"Jakarta",2016
90003250,"Inspection Packaging",2017-11-13,1,"Jakarta",2017
90003251,"Line 11 Shift A",2018-06-01,1,"Jakarta",2018
90003256,"Finance",2018-12-08,1,"Jakarta",2018
90003258,"Job Change",2016-05-01,1,"Jakarta",2016
90003259,"Job Change",2016-09-01,1,"Jakarta",2016
90003260,"Electrical",2016-04-01,1,"Jakarta",2016
90003262,"Plant Reliability",2018-12-22,1,"Jakarta",2018
90003265,"Electrical",2017-01-01,1,"Jakarta",2017
90003268,"Quality Service",2016-06-01,1,"Jakarta",2016
90003269,"Marketing & Sales",2017-12-01,1,"Jakarta",2017
90003272,"Electrical",2016-08-25,1,"Jakarta",2016
90003277,"Inspection Packaging",2017-01-13,1,"Jakarta",2017
90003279,"Inspection Packaging",2017-01-01,1,"Jakarta",2017
90003280,"Inspection Packaging",2019-06-23,1,"Jakarta",2019
90003281,"Inspection Packaging",2017-01-01,1,"Jakarta",2017
90003282,"Inspection Packaging",2017-02-01,1,"Jakarta",2017
90003286,"Quality Service",2017-11-01,1,"Jakarta",2017
90003287,"Line 11 Shift D",2017-02-01,1,"Jakarta",2017
90003288,"Line 14 Shift B",2016-12-01,1,"Jakarta",2016
90003289,"Line 11 Shift D",2019-04-21,1,"Jakarta",2019
90003291,"Mould Shop",2017-09-01,1,"Jakarta",2017
90003292,"Inspection Packaging",2019-06-23,1,"Jakarta",2019
90003294,"Job Change",2019-06-27,1,"Jakarta",2019
90003296,"Batch & Furnace",2017-02-01,1,"Jakarta",2017
90003298,"Electrical",2016-11-22,1,"Jakarta",2016
90003299,"Quality Service",2018-11-01,1,"Jakarta",2018
90003304,"Finance",2017-11-26,1,"Jakarta",2017
90003305,"Inspection Packaging",2017-02-01,1,"Jakarta",2017
90003306,"Inspection Packaging",2017-02-01,1,"Jakarta",2017
90003314,"Line 22 Shift B",2018-02-01,1,"Jakarta",2018
90003315,"Line 22 Shift D",2018-10-30,1,"Jakarta",2018
90003316,"Line 22 Shift B",2017-06-06,1,"Jakarta",2017
90003319,"Line 22 Shift C",2017-06-17,1,"Jakarta",2017
90003323,"Procurement",2017-10-05,1,"Jakarta",2017
90003325,"Plant Reliability",2018-12-27,1,"Jakarta",2018
90003327,"Mould Shop",2019-07-01,1,"Jakarta",2019
90003329,"Manufacturing",2017-12-01,1,"Jakarta",2017
90003332,"Finance",2019-01-01,1,"Jakarta",2019
90003333,"Electrical",2017-07-07,1,"Jakarta",2017
90003334,"Electrical",2017-10-01,1,"Jakarta",2017
90003335,"Forming Engineering",2017-10-01,1,"Jakarta",2017
90003336,"Line 22 Shift C",2018-08-18,1,"Jakarta",2018
90003337,"Human Resources",2019-06-22,1,"Jakarta",2019
90003339,"Warehouse & Logistics",2018-03-13,1,"Jakarta",2018
90003344,"Procurement",2018-02-01,1,"Jakarta",2018
90003348,"Line 22 Shift D",2018-07-14,1,"Jakarta",2018
90003351,"Line 24 Shift D",2018-05-01,1,"Jakarta",2018
90003354,"Finance",2019-01-16,1,"Jakarta",2019
90003357,"Inspection Packaging",2018-03-01,1,"Jakarta",2018
90003359,"Electrical",2018-03-22,1,"Jakarta",2018
90003361,"Finance",2018-03-01,1,"Jakarta",2018
90003365,"Procurement",2018-10-05,1,"Jakarta",2018
90003367,"Batch & Furnace",2018-04-11,1,"Jakarta",2018
90003370,"Finance",2019-02-16,1,"Jakarta",2019
90003371,"PT Kangar Consolidated Industries",2018-09-07,1,"Jakarta",2018
90003373,"Manufacturing",2018-10-01,1,"Jakarta",2018
90003374,"Batch & Furnace",2018-12-01,1,"Jakarta",2018
90003376,"Mechanical Engineering",2019-07-01,1,"Jakarta",2019
90003378,"Procurement",2019-01-16,1,"Jakarta",2019
90003380,"Planning",2019-01-01,1,"Jakarta",2019
90003385,"Manufacturing",2019-01-01,1,"Jakarta",2019
90003386,"Manufacturing",2019-01-01,1,"Jakarta",2019
90003387,"Line 22 Shift C",2018-08-15,1,"Jakarta",2018
90003390,"Line 11 Shift A",2019-02-06,1,"Jakarta",2019
90003396,"Mechanical Engineering",2019-02-01,1,"Jakarta",2019
90003400,"Line 12 Shift C",2019-03-01,1,"Jakarta",2019
90003409,"Finance",2019-03-08,1,"Jakarta",2019
10000004,"Finished Products C Shift",2011-05-23,1,"Other",2011
10000005,"Finished Products A Shift",2011-11-01,1,"Other",2011
10000006,"Forming Services",2002-09-21,1,"Sydney",2002
10000007,"Finished Products B Shift",2004-06-24,1,"Other",2004
10000008,"Purchasing",2008-03-29,1,"Other",2008
10000010,"Finished Products B Shift",2002-03-06,1,"Other",2002
10000012,"Forming C Shift",2016-08-24,1,"Other",2016
10000014,"Machine Maintenance",2002-06-29,1,"Sydney",2002
10000015,"Forming Services",2009-05-01,1,"Sydney",2009
10000016,"Forming",2018-04-07,1,"Brisbane",2018
10000017,"Forming A Shift",2000-05-27,1,"Other",2000
10000019,"Human Resources",2000-12-23,1,"Other",2000
10000020,"Forming Services",2009-11-17,1,"Other",2009
10000021,"Finished Products A Shift",2002-10-15,1,"Other",2002
10000024,"Forming A Shift",2000-02-12,1,"Other",2000
10000025,"Finished Products B Shift",2007-12-05,1,"Other",2007
10000026,"Finished Products",2001-09-01,1,"Sydney",2001
10000028,"Finished Products",2004-06-11,1,"Sydney",2004
10000029,"Process Control",2016-02-03,1,"Other",2016
10000030,"Plant Maintenance",2004-03-05,1,"Sydney",2004
10000034,"Purchasing",2009-03-10,1,"Sydney",2009
10000036,"Forming B Shift",2013-03-15,1,"Other",2013
10000038,"Forming Services",2008-12-06,1,"Sydney",2008
