Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date,Time in role
2591,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,1/08/2019,Manufacturing & Engineering,G5 Cold End Job Change Crew,29/01/2007,2216
2599,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,Shift C,1/07/2013,1/08/2019,Manufacturing & Engineering,G4 Multi Skilled Operator,26/02/2007,2222
2600,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7140,MEL Job Change,Hot End Job Change Team,1/07/2013,26/04/2019,Manufacturing & Engineering,G5 Process Specialist,26/02/2007,2125
2602,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7180,MEL Audit,Integrates Systems and Risk B Shift,1/07/2013,31/01/2016,,G4 Multi Skilled Operator,26/02/2007,944
2605,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,UPM4A Shift,1/07/2013,15/07/2014,,G5 Process Specialist,26/02/2007,379
2607,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,1/07/2013,6/04/2014,,Fitter,21/03/2007,279
2607,Transfer,Transfer,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6300,BNE Business Service,Maintenance Planning,7/04/2014,8/07/2018,Manufacturing & Engineering,Stores Coordinator,21/03/2007,1553
2607,Transfer,Transfer,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6240,BNE Maint - Machine,IS Repair,9/07/2018,1/08/2019,Manufacturing & Engineering,Maintenance Planner,21/03/2007,388
2609,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,C Shift,7/07/2013,13/06/2016,,PROCESS SPECIALIST,26/03/2007,1072
2609,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,14/06/2016,1/08/2019,Manufacturing & Engineering,G5 Hot End Job Change Crew,26/03/2007,1143
2610,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,1/07/2013,1/08/2019,Manufacturing & Engineering,Job Change Team Member,19/03/2007,2222
2611,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9811,SYD SP12 MachineLine,B Shift,7/07/2013,2/07/2017,,Multi Skilled Operator,26/03/2007,1456
2611,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9812,SYD SP13 MachineLine,B Shift,2/01/2017,1/08/2019,Manufacturing & Engineering,Process Specialist,26/03/2007,941
2614,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5818,ADE AD50 MachineLine,D Shift,1/07/2013,17/02/2019,Manufacturing & Engineering,G7 Line Leader,19/03/2007,2057
2614,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5818,ADE AD50 MachineLine,Shift D,19/02/2018,1/08/2019,Manufacturing & Engineering,Line Leader,19/03/2007,528
2615,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,1/07/2013,12/07/2015,,Job Change Team (Hot End),19/03/2007,741
2615,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,14/07/2014,1/08/2019,Manufacturing & Engineering,Job Change Team Member,19/03/2007,1844
2619,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6811,BNE QG15 MachineLine,B Shift,1/07/2013,5/03/2017,,PRODUCTION OPERATOR B SHIFT,26/04/2007,1343
2619,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6140,BNE Job Change,Job Change Team,6/03/2017,1/08/2019,Manufacturing & Engineering,Job Change Operator,26/04/2007,878
2622,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Job Change,7/07/2013,1/08/2019,Manufacturing & Engineering,G5 Hot End Job Change Crew,30/04/2007,2216
2623,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5100,ADE Batch,Batch and Furnace,1/07/2013,1/08/2019,Manufacturing & Engineering,Furnace Operator,21/05/2007,2222
2625,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5100,ADE Batch,Batch and Furnace,1/07/2013,18/02/2018,,Trainee Furnace Operator,4/06/2007,1693
2625,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5100,ADE Batch,Batch and Furnace,20/02/2017,1/08/2019,Manufacturing & Engineering,Furnace Operator,4/06/2007,892
2626,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,Shift B,1/07/2013,1/08/2019,Manufacturing & Engineering,G4 Multi Skilled Operator,4/06/2007,2222
2628,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7170,MEL Pack,Integrates Systems and Risk A Shift,9/09/2013,25/10/2015,,G4 Multi Skilled Operator,4/06/2007,776
2628,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7170,MEL Pack,Shift B,26/10/2015,1/08/2019,Manufacturing & Engineering,Multi Skilled Operator,4/06/2007,1375
2630,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,7/07/2013,1/08/2019,Manufacturing & Engineering,GENERAL PLANT OPERATOR,12/06/2007,2216
2631,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Team B,1/07/2013,1/08/2019,Manufacturing & Engineering,C7 Fitter,25/06/2007,2222
2633,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Team A,1/07/2013,1/08/2019,Manufacturing & Engineering,C7 Fitter,25/06/2007,2222
2634,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5240,ADE Maint - Machine,Machine Maintenance,1/07/2013,12/07/2015,,Mechanical Tradesperson - Leading Hand,2/07/2007,741
2634,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5240,ADE Maint - Machine,IS Repair,14/07/2014,1/08/2019,Manufacturing & Engineering,Mechanical Tradesperson,2/07/2007,1844
2635,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Team B,1/07/2013,1/08/2019,Manufacturing & Engineering,C7 Fitter,3/07/2007,2222
2637,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Team A,1/07/2013,1/08/2019,Manufacturing & Engineering,C7 Fitter,16/07/2007,2222
2638,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6100,BNE Batch,Batch & Furnace,1/07/2013,5/07/2015,,Lead Hand Mobile Handler,16/07/2007,734
2638,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6100,BNE Batch,Batch & Furnace,7/07/2014,1/07/2018,,Lead Hand Mobile Handler,16/07/2007,1455
2638,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6100,BNE Batch,Batch & Furnace,3/07/2017,1/08/2019,Manufacturing & Engineering,Melt Operator,16/07/2007,759
2641,Promotion,Transfer,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Shift,6060,BNE Integrated Syste,Integrated Systems and Risk,1/05/2013,31/07/2015,,Shift Manager 4,16/07/2007,821
2641,Promotion,Promotion,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,6050,BNE Production Suppo,Forming Team,1/08/2015,1/08/2019,Manufacturing & Engineering,Forming Specialist,16/07/2007,1461
2642,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7240,MEL Maint - Machine,IS Repair,1/07/2013,1/08/2019,Manufacturing & Engineering,C6 Fitter,16/07/2007,2222
