"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
10000151,"Auto Terminations","Approved Early Retirement","Purchasing",2010-08-28,-1,1,"Brisbane",2010
10000152,"Auto Terminations","Approved Early Retirement","Forming",2019-04-16,-1,1,"Brisbane",2019
10000153,"Auto Terminations","Approved Early Retirement","Manufacturing",2001-12-03,-1,1,"Other",2001
10000155,"Auto Terminations","Retrenchment (NZ Only 2010+)","Business Sustainability & Environmental",2011-11-02,-1,1,"Brisbane",2011
10000157,"Auto Terminations","Approved Early Retirement","Forming",2013-09-14,-1,1,"Brisbane",2013
10000158,"Auto Terminations","Approved Early Retirement","Engineering",2001-01-24,-1,1,"Brisbane",2001
10000159,"Auto Terminations","Resignation","Manufacturing",2002-11-01,-1,1,"Brisbane",2002
10000160,"Auto Terminations","Retrenchment (NZ Only 2010+)","Supply Chain",2017-10-28,-1,1,"Brisbane",2017
10000161,"Auto Terminations","Resignation","Finance",2000-04-01,-1,1,"Brisbane",2000
10000162,"Auto Terminations","Retrenchment (NZ Only 2010+)","Administration",2017-04-04,-1,1,"Brisbane",2017
10000163,"Auto Terminations","Resignation","Finance",2003-10-01,-1,1,"Brisbane",2003
10000164,"Auto Terminations","Approved Early Retirement","Engineering",2004-01-01,-1,1,"Brisbane",2004
10000165,"Auto Terminations","Retrenchment (NZ Only 2010+)","Logistics",2002-02-02,-1,1,"Brisbane",2002
10000167,"Auto Terminations","Company Sold","Consumer Products",2000-02-01,-1,1,"Brisbane",2000
10000168,"Auto Terminations","Approved Early Retirement","Human Resources",2016-11-01,-1,1,"Brisbane",2016
10000170,"Auto Terminations","Approved Early Retirement","Job Change",2001-04-07,-1,1,"Brisbane",2001
10000171,"Auto Terminations","Resignation","Engineering",2000-07-15,-1,1,"Brisbane",2000
10000173,"Auto Terminations","Approved Early Retirement","Finished Products D Shift",2000-12-01,-1,1,"Brisbane",2000
10000174,"Auto Terminations","Approved Early Retirement","Forming",2016-04-01,-1,1,"Brisbane",2016
10000175,"Auto Terminations","Resignation","Marketing",2000-11-01,-1,1,"Brisbane",2000
10000176,"Auto Terminations","Resignation","Logistics",2000-07-01,-1,1,"Brisbane",2000
10000177,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finished Products B Shift",2002-12-22,-1,1,"Brisbane",2002
10000178,"Auto Terminations","Retrenchment (NZ Only 2010+)","Sales & Marketing",2017-03-30,-1,1,"Brisbane",2017
10000179,"Auto Terminations","Approved Early Retirement","Plant Maintenance",2015-06-27,-1,1,"Brisbane",2015
10000180,"Auto Terminations","Illness Disability","Forming",2001-01-02,-1,1,"Brisbane",2001
10000181,"Auto Terminations","Resignation","Finished Products",2008-01-01,-1,1,"Brisbane",2008
10000183,"Auto Terminations","Resignation","Purchasing",2000-04-27,-1,1,"Brisbane",2000
10000184,"Auto Terminations","Non SAP Company Transfer","Finished Products",2000-07-01,-1,1,"Brisbane",2000
10000186,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2002-02-02,-1,1,"Brisbane",2002
10000187,"Auto Terminations","Retrenchment (NZ Only 2010+)","Administration",2018-06-13,-1,1,"Brisbane",2018
10000188,"Auto Terminations","Retrenchment (NZ Only 2010+)","Forming Services Design Office",2000-03-25,-1,1,"Brisbane",2000
10000190,"Auto Terminations","Dismissal","Finance",2001-03-01,-1,1,"Brisbane",2001
10000193,"Auto Terminations","Resignation","Marketing",2001-08-01,-1,1,"Brisbane",2001
10000194,"Auto Terminations","Company Sold","Consumer Products",2000-02-01,-1,1,"Brisbane",2000
10000195,"Auto Terminations","Resignation","",2003-02-05,-1,1,"Brisbane",2003
10000196,"Auto Terminations","Contract Expired","Manufacturing",2007-05-12,-1,1,"Other",2007
10000198,"Termination (HR checklist)","Contract Expired","",2000-07-01,-1,1,"Brisbane",2000
10000199,"Auto Terminations","Contract Expired","",2002-12-16,-1,1,"Brisbane",2002
10000200,"Auto Terminations","Contract Expired","Sales",2012-12-19,-1,1,"Brisbane",2012
10000201,"Auto Terminations","Resignation","",2003-02-02,-1,1,"Brisbane",2003
10000202,"Termination (HR checklist)","Contract Expired","Administration",2001-05-02,-1,1,"Brisbane",2001
10000203,"Auto Terminations","Approved Early Retirement","Human Resources",2014-08-30,-1,1,"Brisbane",2014
10000204,"Termination (HR checklist)","Resignation","",2000-07-01,-1,1,"Brisbane",2000
10000205,"Auto Terminations","Retrenchment (NZ Only 2010+)","Machine Maintenance",2004-01-01,-1,1,"Brisbane",2004
10000208,"Auto Terminations","Approved Early Retirement","Job Change",2018-05-17,-1,1,"Brisbane",2018
10000209,"Auto Terminations","Resignation","Forming B Shift",2017-12-22,-1,1,"Other",2017
10000210,"Auto Terminations","Contract Expired","Temporary Resort",2002-04-20,-1,1,"Sydney",2002
10000211,"Auto Terminations","Contract Expired","Temporary Resort",2006-12-02,-1,1,"Sydney",2006
10000212,"Auto Terminations","Contract Expired","Temporary Resort",2004-07-27,-1,1,"Sydney",2004
10000215,"Auto Terminations","Contract Expired","Purchasing",2000-03-18,-1,1,"Other",2000
10000217,"Auto Terminations","Contract Expired","",2000-02-26,-1,1,"Sydney",2000
10000218,"Auto Terminations","Contract Expired","Temporary Resort",2000-07-10,-1,1,"Sydney",2000
10000220,"Auto Terminations","Contract Expired","Temporary Resort",2001-03-19,-1,1,"Sydney",2001
10000221,"Auto Terminations","Resignation","Temporary Resort",2000-03-18,-1,1,"Sydney",2000
10000222,"Auto Terminations","Dismissal","Temporary Resort",2000-10-28,-1,1,"Other",2000
10000223,"Auto Terminations","Contract Expired","Temporary Resort",2000-03-18,-1,1,"Sydney",2000
10000224,"Auto Terminations","Contract Expired","Temporary Resort",2001-09-10,-1,1,"Other",2001
10000225,"Auto Terminations","Contract Expired","Temporary Resort",2000-03-18,-1,1,"Sydney",2000
10000226,"Auto Terminations","Contract Expired","Human Resources",2000-02-19,-1,1,"Sydney",2000
10000227,"Auto Terminations","Resignation","Machine Maintenance",2000-11-11,-1,1,"Sydney",2000
10000228,"Auto Terminations","Contract Expired","Human Resources",2001-01-23,-1,1,"Other",2001
10000229,"Auto Terminations","Contract Expired","Forming",2000-05-06,-1,1,"Brisbane",2000
10000230,"Auto Terminations","Approved Early Retirement","Machine Maintenance",2003-01-01,-1,1,"Other",2003
10000231,"Auto Terminations","Contract Expired","Forming",2005-10-14,-1,1,"Brisbane",2005
10000232,"Auto Terminations","Contract Expired","Purchasing",2001-01-23,-1,1,"Other",2001
10000233,"Auto Terminations","Resignation","Information Technology",2001-03-06,-1,1,"Brisbane",2001
10000234,"Auto Terminations","Resignation","Finance",2001-09-29,-1,1,"Brisbane",2001
10000235,"Auto Terminations","Resignation","Forming A Shift",2000-05-27,-1,1,"Other",2000
10000236,"Auto Terminations","Resignation","Forming C Shift",2000-11-30,-1,1,"Other",2000
10000237,"Auto Terminations","Resignation","Electrical",2003-03-08,-1,1,"Sydney",2003
10000238,"Auto Terminations","Resignation","Electrical",2001-05-07,-1,1,"Sydney",2001
10000239,"Auto Terminations","Resignation","Sales",2013-01-01,-1,1,"Brisbane",2013
10000240,"Auto Terminations","Resignation","Finance",2002-07-20,-1,1,"Brisbane",2002
10000241,"Auto Terminations","Illness Disability","Machine Maintenance",2003-12-03,-1,1,"Brisbane",2003
10000242,"Auto Terminations","Resignation","Machine Maintenance",2004-11-20,-1,1,"Sydney",2004
10000243,"Auto Terminations","Resignation","Purchasing",2008-03-21,-1,1,"Brisbane",2008
10000245,"Auto Terminations","Dismissal","Forming Services",2004-02-14,-1,1,"Sydney",2004
10000246,"Auto Terminations","Resignation","Purchasing",2001-09-06,-1,1,"Other",2001
10000247,"Auto Terminations","Resignation","Forming A Shift",2000-10-23,-1,1,"Other",2000
10000248,"Auto Terminations","Contract Expired","Temporary Resort",2006-10-07,-1,1,"Other",2006
10000249,"Auto Terminations","Contract Expired","Temporary Resort",2000-07-17,-1,1,"Other",2000
10000250,"Auto Terminations","Contract Expired","Temporary Resort",2000-07-17,-1,1,"Other",2000
10000251,"Auto Terminations","Resignation","Forming D Shift",2007-05-16,-1,1,"Other",2007
10000252,"Auto Terminations","Contract Expired","ACI Glass Packaging New Zealand",2010-08-28,-1,1,"Brisbane",2010
10000253,"Auto Terminations","Resignation","Engineering",2000-12-30,-1,1,"Brisbane",2000
10000254,"Auto Terminations","Contract Expired","Forming A Shift",2004-04-03,-1,1,"Other",2004
10000255,"Auto Terminations","Resignation","Machine Maintenance",2007-11-03,-1,1,"Other",2007
10000256,"Auto Terminations","Resignation","Customer Technical Services",2005-01-01,-1,1,"Brisbane",2005
10000258,"Auto Terminations","Resignation","Finance",2011-09-24,-1,1,"Brisbane",2011
10000259,"Auto Terminations","Contract Expired","Temporary Resort",2002-10-13,-1,1,"Other",2002
10000260,"Auto Terminations","Contract Expired","Temporary Resort",2001-04-14,-1,1,"Other",2001
10000261,"Auto Terminations","Resignation","Temporary Resort",2000-11-23,-1,1,"Other",2000
10000262,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000263,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000265,"Auto Terminations","Illness Disability","Forming C Shift",2002-01-15,-1,1,"Other",2002
10000266,"Auto Terminations","Resignation","Forming B Shift",2000-12-07,-1,1,"Other",2000
10000267,"Auto Terminations","Contract Expired","Temporary Resort",2000-12-09,-1,1,"Other",2000
10000268,"Auto Terminations","Contract Expired","Temporary Resort",2004-06-29,-1,1,"Sydney",2004
10000269,"Auto Terminations","Resignation","Marketing",2002-12-07,-1,1,"Other",2002
10000270,"Auto Terminations","Contract Expired","Engineering",2001-06-02,-1,1,"Other",2001
10000271,"Auto Terminations","Contract Expired","Temporary Resort",2002-04-20,-1,1,"Sydney",2002
10000272,"Auto Terminations","Resignation","Forming D Shift",2017-12-12,-1,1,"Other",2017
10000273,"Auto Terminations","Resignation","Forming B Shift",2008-06-29,-1,1,"Other",2008
10000274,"Auto Terminations","Contract Expired","Engineering",2004-01-31,-1,1,"Other",2004
10000275,"Auto Terminations","Resignation","Engineering",2008-03-29,-1,1,"Brisbane",2008
10000276,"Auto Terminations","Contract Expired","Batch & Furnace",2001-06-30,-1,1,"Brisbane",2001
10000278,"Auto Terminations","Resignation","Engineering",2005-07-01,-1,1,"Brisbane",2005
10000279,"Auto Terminations","Resignation","Batch & Furnace",2006-05-20,-1,1,"Brisbane",2006
10000280,"Auto Terminations","Contract Expired","Temporary Resort",2004-10-26,-1,1,"Other",2004
10000281,"Auto Terminations","Contract Expired","Temporary Resort",2001-03-27,-1,1,"Other",2001
10000282,"Auto Terminations","Contract Expired","Engineering",2001-06-18,-1,1,"Other",2001
10000283,"Auto Terminations","Non SAP Company Transfer","Human Resources",2002-02-28,-1,1,"Other",2002
10000284,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000285,"Auto Terminations","Contract Expired","Temporary Resort",2001-04-13,-1,1,"Other",2001
10000286,"Auto Terminations","Resignation","Job Change",2018-08-11,-1,1,"Brisbane",2018
10000288,"Auto Terminations","Dismissal","Forming A Shift",2003-01-09,-1,1,"Other",2003
10000289,"Auto Terminations","Resignation","Forming A Shift",2002-03-31,-1,1,"Other",2002
10000293,"Auto Terminations","Approved Early Retirement","Machine Maintenance",2016-03-21,-1,1,"Other",2016
10000294,"Auto Terminations","Resignation","Batch & Furnace",2008-11-20,-1,1,"Brisbane",2008
10000296,"Auto Terminations","Contract Expired","Engineering",2003-02-22,-1,1,"Other",2003
10000297,"Auto Terminations","Contract Expired","Engineering",2001-11-19,-1,1,"Other",2001
10000298,"Auto Terminations","Resignation","Forming A Shift",2002-06-01,-1,1,"Other",2002
10000299,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000299,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-24,-1,1,"Sydney",2014
10000300,"Auto Terminations","Resignation","Finance",2002-08-17,-1,1,"Brisbane",2002
10000301,"Auto Terminations","Resignation","Purchasing",2003-08-30,-1,1,"Other",2003
10000302,"Auto Terminations","Contract Expired","Temporary Resort",2008-04-03,-1,1,"Other",2008
10000303,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000304,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000305,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000306,"Auto Terminations","Contract Expired","Temporary Resort",2001-11-05,-1,1,"Other",2001
10000307,"Auto Terminations","Contract Expired","Engineering",2002-01-19,-1,1,"Other",2002
10000308,"Auto Terminations","Contract Expired","Machine Maintenance",2001-12-15,-1,1,"Other",2001
10000309,"Auto Terminations","Contract Expired","Engineering",2001-12-21,-1,1,"Other",2001
10000310,"Auto Terminations","Resignation","Electrical",2006-10-28,-1,1,"Sydney",2006
10000313,"Termination (HR checklist)","Non SAP company transfer","Administration",2019-04-01,-1,1,"Brisbane",2019
10000314,"Auto Terminations","Resignation","Human Resources",2007-09-01,-1,1,"Other",2007
10000315,"Auto Terminations","Resignation","Forming Services",2004-05-14,-1,1,"Other",2004
10000316,"Auto Terminations","Contract Expired","Finance",2002-05-11,-1,1,"Other",2002
10000317,"Auto Terminations","Contract Expired","Batch & Furnace",2004-03-28,-1,1,"Other",2004
10000319,"Auto Terminations","Resignation","Finished Products B Shift",2011-02-12,-1,1,"Other",2011
10000320,"Auto Terminations","Resignation","Forming A Shift",2006-06-20,-1,1,"Other",2006
10000321,"Auto Terminations","Resignation","Job Change",2010-10-09,-1,1,"Sydney",2010
10000322,"Auto Terminations","Non SAP Company Transfer","Customer Technical Services",2018-04-01,-1,1,"Brisbane",2018
10000323,"Auto Terminations","Resignation","Finished Products D Shift",2002-11-26,-1,1,"Other",2002
10000324,"Auto Terminations","Resignation","Machine Maintenance",2006-09-30,-1,1,"Sydney",2006
10000325,"Auto Terminations","Resignation","Finance",2003-02-01,-1,1,"Other",2003
10000326,"Auto Terminations","Resignation","Finance",2008-06-07,-1,1,"Brisbane",2008
10000328,"Auto Terminations","Resignation","Finance",2004-03-27,-1,1,"Brisbane",2004
10000330,"Auto Terminations","Contract Expired","Temporary Resort",2005-03-08,-1,1,"Other",2005
10000331,"Auto Terminations","Resignation","Forming Services",2003-06-26,-1,1,"Sydney",2003
10000332,"Auto Terminations","Resignation","Marketing",2004-05-29,-1,1,"Other",2004
10000333,"Termination (HR checklist)","Contract Expired","Manufacturing",2005-01-17,-1,1,"Brisbane",2005
10000334,"Auto Terminations","Resignation","Quality Control",2016-01-16,-1,1,"Brisbane",2016
10000335,"Auto Terminations","Resignation","Manufacturing",2008-05-03,-1,1,"Brisbane",2008
10000336,"Auto Terminations","Dismissal","Finished Products C Shift",2004-05-25,-1,1,"Other",2004
10000337,"Auto Terminations","Resignation","Raw Material",2008-12-06,-1,1,"Other",2008
10000338,"Auto Terminations","Resignation","Forming B Shift",2013-10-09,-1,1,"Other",2013
10000339,"Auto Terminations","Resignation","Logistics",2004-02-01,-1,1,"Brisbane",2004
10000340,"Auto Terminations","Contract Expired","Temporary Resort",2003-02-26,-1,1,"Other",2003
10000341,"Auto Terminations","Contract Expired","Temporary Resort",2003-03-17,-1,1,"Other",2003
10000342,"Auto Terminations","Contract Expired","Temporary Resort",2003-09-02,-1,1,"Other",2003
10000343,"Auto Terminations","Contract Expired","Temporary Resort",2004-05-11,-1,1,"Other",2004
10000344,"Auto Terminations","Contract Expired","Temporary Resort",2003-02-26,-1,1,"Other",2003
10000345,"Auto Terminations","Resignation","Unit Plant Management",2018-11-17,-1,1,"Brisbane",2018
10000346,"Auto Terminations","Resignation","Finance",2003-08-03,-1,1,"Other",2003
10000347,"Auto Terminations","Contract Expired","Temporary Resort",2006-04-10,-1,1,"Other",2006
10000348,"Auto Terminations","Contract Expired","Temporary Resort",2003-09-02,-1,1,"Other",2003
10000349,"Auto Terminations","Contract Expired","Temporary Resort",2003-03-17,-1,1,"Other",2003
10000350,"Auto Terminations","Contract Expired","Temporary Resort",2003-03-17,-1,1,"Other",2003
10000351,"Auto Terminations","Contract Expired","Temporary Resort",2003-05-25,-1,1,"Sydney",2003
10000352,"Auto Terminations","Resignation","Electrical",2004-10-14,-1,1,"Sydney",2004
10000353,"Auto Terminations","Contract Expired","Administration",2003-05-03,-1,1,"Other",2003
10000354,"Auto Terminations","Resignation","Batch & Furnace",2006-12-16,-1,1,"Sydney",2006
10000355,"Auto Terminations","Dismissal","Raw Material",2005-01-26,-1,1,"Other",2005
10000356,"Auto Terminations","Contract Expired","Temporary Resort",2003-09-29,-1,1,"Other",2003
10000357,"Auto Terminations","Contract Expired","Temporary Resort",2003-09-02,-1,1,"Other",2003
10000358,"Auto Terminations","Retrenchment (NZ Only 2010+)","Purchasing",2004-05-15,-1,1,"Other",2004
10000360,"Auto Terminations","Contract Expired","Finance",2006-05-04,-1,1,"Brisbane",2006
10000361,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000362,"Auto Terminations","Contract Expired","Temporary Resort",2005-08-24,-1,1,"Other",2005
10000365,"Auto Terminations","Contract Expired","Temporary Resort",2006-04-10,-1,1,"Other",2006
10000366,"Auto Terminations","Contract Expired","Temporary Resort",2004-11-25,-1,1,"Other",2004
10000367,"Auto Terminations","Contract Expired","Engineering",2004-02-21,-1,1,"Other",2004
10000368,"Auto Terminations","Resignation","Manufacturing",2006-03-25,-1,1,"Brisbane",2006
10000369,"Auto Terminations","Resignation","Quality Control",2019-01-01,-1,1,"Brisbane",2019
10000371,"Auto Terminations","Resignation","Forming Services",2004-05-15,-1,1,"Sydney",2004
10000373,"Auto Terminations","Resignation","Finance",2018-03-17,-1,1,"Brisbane",2018
10000373,"Termination (HR checklist)","Resignation","Finance",2018-03-20,-1,1,"Brisbane",2018
10000374,"Auto Terminations","Resignation","Forming C Shift",2005-10-14,-1,1,"Other",2005
10000375,"Auto Terminations","Contract Expired","Temporary Resort",2005-02-18,-1,1,"Other",2005
10000376,"Auto Terminations","Resignation","Finance",2007-07-07,-1,1,"Brisbane",2007
10000377,"Auto Terminations","Abandonment","Marketing",2005-12-31,-1,1,"Other",2005
10000378,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2017-06-10,-1,1,"Brisbane",2017
10000379,"Auto Terminations","Contract Expired","Human Resources",2010-07-10,-1,1,"Other",2010
10000380,"Auto Terminations","Resignation","Machine Maintenance",2007-06-16,-1,1,"Other",2007
10000381,"Auto Terminations","Resignation","Forming Services",2006-01-07,-1,1,"Sydney",2006
10000383,"Auto Terminations","Resignation","Forming Services",2013-08-24,-1,1,"Sydney",2013
10000384,"Auto Terminations","Contract Expired","Temporary Resort",2004-09-16,-1,1,"Other",2004
10000385,"Auto Terminations","Contract Expired","Temporary Resort",2004-08-31,-1,1,"Other",2004
10000386,"Auto Terminations","Contract Expired","Temporary Resort",2004-09-16,-1,1,"Other",2004
10000387,"Auto Terminations","Contract Expired","Temporary Resort",2006-12-02,-1,1,"Other",2006
10000388,"Auto Terminations","Contract Expired","Temporary Resort",2007-04-06,-1,1,"Sydney",2007
10000389,"Auto Terminations","Resignation","Job Change",2017-06-03,-1,1,"Brisbane",2017
10000390,"Auto Terminations","Contract Expired","Temporary Resort",2004-10-19,-1,1,"Other",2004
10000391,"Auto Terminations","Contract Expired","Temporary Resort",2005-02-15,-1,1,"Other",2005
10000392,"Auto Terminations","Contract Expired","Temporary Resort",2004-10-19,-1,1,"Other",2004
10000393,"Auto Terminations","Contract Expired","Temporary Resort",2006-05-03,-1,1,"Other",2006
10000394,"Auto Terminations","Contract Expired","Temporary Resort",2005-02-17,-1,1,"Other",2005
10000395,"Auto Terminations","Contract Expired","Temporary Resort",2006-05-03,-1,1,"Other",2006
10000396,"Auto Terminations","Contract Expired","Temporary Resort",2005-08-24,-1,1,"Other",2005
10000397,"Auto Terminations","Contract Expired","Temporary Resort",2004-11-08,-1,1,"Other",2004
10000398,"Auto Terminations","Contract Expired","Temporary Resort",2004-10-22,-1,1,"Other",2004
10000399,"Auto Terminations","Contract Expired","Temporary Resort",2006-09-28,-1,1,"Sydney",2006
10000400,"Auto Terminations","Contract Expired","Temporary Resort",2006-04-10,-1,1,"Other",2006
10000401,"Auto Terminations","Contract Expired","Temporary Resort",2006-12-02,-1,1,"Sydney",2006
10000402,"Auto Terminations","Contract Expired","Temporary Resort",2005-02-15,-1,1,"Other",2005
10000403,"Auto Terminations","Contract Expired","Temporary Resort",2004-10-19,-1,1,"Other",2004
10000404,"Auto Terminations","Contract Expired","Temporary Resort",2006-04-10,-1,1,"Other",2006
10000405,"Auto Terminations","Contract Expired","Customer Technical Services",2005-02-15,-1,1,"Other",2005
10000406,"Auto Terminations","Contract Expired","Customer Technical Services",2005-02-15,-1,1,"Other",2005
10000407,"Auto Terminations","Contract Expired","Temporary Resort",2005-05-31,-1,1,"Other",2005
10000408,"Auto Terminations","Contract Expired","Temporary Resort",2005-02-17,-1,1,"Other",2005
10000410,"Auto Terminations","Contract Expired","Temporary Resort",2005-05-31,-1,1,"Other",2005
10000411,"Auto Terminations","Resignation","Machine Maintenance",2017-01-14,-1,1,"Sydney",2017
10000412,"Auto Terminations","Resignation","Engineering",2008-12-06,-1,1,"Brisbane",2008
10000413,"Auto Terminations","Resignation","Marketing",2012-04-12,-1,1,"Brisbane",2012
10000414,"Auto Terminations","Resignation","Flexible Manufacturing Unit",2009-10-01,-1,1,"Brisbane",2009
10000415,"Auto Terminations","Resignation","Machine Maintenance",2016-01-10,-1,1,"Other",2016
10000418,"Auto Terminations","Resignation","Marketing",2007-03-26,-1,1,"Other",2007
10000419,"Auto Terminations","Resignation","Finished Products B Shift",2008-05-01,-1,1,"Other",2008
10000420,"Auto Terminations","Resignation","Forming Services",2007-11-29,-1,1,"Sydney",2007
10000421,"Auto Terminations","Resignation","Marketing",2008-08-30,-1,1,"Brisbane",2008
10000428,"Auto Terminations","Resignation","Flexible Manufacturing Unit",2008-07-16,-1,1,"Brisbane",2008
10000429,"Auto Terminations","Resignation","Forming B Shift",2015-10-13,-1,1,"Other",2015
10000430,"Auto Terminations","Illness Disability","Job Change",2018-12-05,-1,1,"Sydney",2018
10000432,"Auto Terminations","Contract Expired","Temporary Resort",2006-12-23,-1,1,"Other",2006
10000433,"Auto Terminations","Resignation","Customer Technical Services",2015-01-17,-1,1,"Brisbane",2015
10000434,"Auto Terminations","Approved Early Retirement","Electrical Inspection",2016-06-11,-1,1,"Sydney",2016
10000434,"Auto Terminations","Contract Expired","Electrical Inspection",2018-05-05,-1,1,"Other",2018
10000434,"Auto Terminations","Resignation","Electrical Inspection",2018-08-11,-1,1,"Sydney",2018
10000435,"Auto Terminations","Resignation","Quality Control",2007-12-01,-1,1,"Sydney",2007
10000436,"Auto Terminations","Resignation","Electrical",2013-02-05,-1,1,"Other",2013
10000439,"Auto Terminations","Resignation","Marketing",2007-04-21,-1,1,"Other",2007
10000441,"Auto Terminations","Resignation","Finance",2008-09-05,-1,1,"Brisbane",2008
10000442,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2010-06-12,-1,1,"Brisbane",2010
10000443,"Auto Terminations","Resignation","Machine Maintenance",2008-11-29,-1,1,"Other",2008
10000445,"Auto Terminations","Resignation","Forming C Shift",2015-09-08,-1,1,"Other",2015
10000446,"Auto Terminations","Resignation","Sales",2013-07-13,-1,1,"Brisbane",2013
10000448,"Auto Terminations","Contract Expired","Temporary Resort",2008-04-03,-1,1,"Other",2008
10000449,"Auto Terminations","Contract Expired","Temporary Resort",2009-09-02,-1,1,"Other",2009
10000450,"Auto Terminations","Contract Expired","Temporary Resort",2009-09-02,-1,1,"Other",2009
10000451,"Auto Terminations","Contract Expired","Temporary Resort",2008-10-03,-1,1,"Other",2008
10000452,"Auto Terminations","Contract Expired","Temporary Resort",2008-04-03,-1,1,"Other",2008
10000453,"Auto Terminations","Contract Expired","Temporary Resort",2008-10-03,-1,1,"Other",2008
10000454,"Auto Terminations","Contract Expired","Temporary Resort",2008-04-03,-1,1,"Other",2008
10000456,"Auto Terminations","Contract Expired","Finished Products C Shift",2008-10-16,-1,1,"Other",2008
10000457,"Auto Terminations","Resignation","Finance",2010-10-30,-1,1,"Brisbane",2010
10000458,"Auto Terminations","Resignation","Marketing",2008-11-03,-1,1,"Other",2008
10000459,"Auto Terminations","Dismissal","Finished Products C Shift",2017-03-12,-1,1,"Other",2017
10000460,"Auto Terminations","Resignation","Plant Maintenance",2016-07-23,-1,1,"Sydney",2016
10000462,"Auto Terminations","Resignation","Purchasing",2008-10-25,-1,1,"Brisbane",2008
10000465,"Auto Terminations","Resignation","Business Sustainability & Environmental",2010-02-06,-1,1,"Brisbane",2010
10000466,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2010-06-12,-1,1,"Brisbane",2010
10000467,"Auto Terminations","Resignation","Sales",2011-02-12,-1,1,"Brisbane",2011
10000468,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2011-03-12,-1,1,"Brisbane",2011
10000469,"Auto Terminations","Resignation","Plant Maintenance",2012-01-28,-1,1,"Sydney",2012
10000475,"Auto Terminations","Contract Expired","Marketing",2009-02-16,-1,1,"Other",2009
10000476,"Auto Terminations","Resignation","Forming B Shift",2016-11-26,-1,1,"Other",2016
10000477,"Auto Terminations","Resignation","Job Change",2009-12-02,-1,1,"Sydney",2009
10000478,"Auto Terminations","Retrenchment (NZ Only 2010+)","Purchasing",2017-05-13,-1,1,"Brisbane",2017
10000479,"Auto Terminations","Resignation","Forming B Shift",2017-11-03,-1,1,"Other",2017
10000480,"Auto Terminations","Dismissal","Logistics",2009-04-18,-1,1,"Brisbane",2009
10000482,"Auto Terminations","Contract Expired","Finance",2010-12-06,-1,1,"Other",2010
10000486,"Auto Terminations","Resignation","Forming C Shift",2011-08-19,-1,1,"Other",2011
10000487,"Auto Terminations","Resignation","Job Change",2017-12-03,-1,1,"Sydney",2017
10000488,"Auto Terminations","Resignation","Forming D Shift",2019-06-08,-1,1,"Other",2019
10000493,"Auto Terminations","Illness Disability","Forming C Shift",2013-04-28,-1,1,"Other",2013
10000496,"Auto Terminations","Resignation","Forming A Shift",2019-05-21,-1,1,"Other",2019
10000497,"Auto Terminations","Abandonment","Forming A Shift",2009-08-13,-1,1,"Other",2009
10000505,"Auto Terminations","Retrenchment (NZ Only 2010+)","Purchasing",2015-11-07,-1,1,"Brisbane",2015
10000509,"Auto Terminations","Resignation","Finished Products D Shift",2013-01-01,-1,1,"Other",2013
10000510,"Auto Terminations","Contract Expired","Administration",2011-07-11,-1,1,"Other",2011
10000511,"Auto Terminations","Contract Expired","Logistics",2010-01-30,-1,1,"Other",2010
10000512,"Auto Terminations","Dismissal","Administration",2010-05-05,-1,1,"Brisbane",2010
10000514,"Auto Terminations","Resignation","Forming",2012-11-01,-1,1,"Brisbane",2012
10000515,"Auto Terminations","Resignation","Finance",2010-03-20,-1,1,"Brisbane",2010
10000517,"Auto Terminations","Contract Expired","Engineering",2010-03-02,-1,1,"Other",2010
10000518,"Auto Terminations","Dismissal","Forming A Shift",2018-03-02,-1,1,"Other",2018
10000519,"Auto Terminations","Contract Expired","Finished Products D Shift",2018-08-02,-1,1,"Other",2018
10000521,"Auto Terminations","Contract Expired","Electrical",2010-07-03,-1,1,"Sydney",2010
10000522,"Auto Terminations","Resignation","Finance",2011-06-01,-1,1,"Brisbane",2011
10000523,"Auto Terminations","Retrenchment (NZ Only 2010+)","Sales - Beer, Spirits, RTD & NAB",2017-05-31,-1,1,"Brisbane",2017
10000524,"Auto Terminations","Illness Disability","Logistics",2010-04-16,-1,1,"Brisbane",2010
10000526,"Auto Terminations","Resignation","Marketing",2013-08-09,-1,1,"Brisbane",2013
