"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
571,"Auto Terminations","Retirement","A Shift",2010-12-28,-1,1,"Sydney",2010
572,"Termination (HR checklist)","Resignation","Machine Maintenance",2008-08-11,-1,1,"Sydney",2008
573,"Auto Terminations","Illness Disability","B Shift",2002-05-25,-1,1,"Sydney",2002
578,"Auto Terminations","Retrenchment(2008+)","D Shift",2013-11-13,-1,1,"Sydney",2013
579,"Auto Terminations","Dismissal","Mould Repair",2001-10-21,-1,1,"Sydney",2001
581,"Auto Terminations","Retirement","Mould Repair",2010-07-10,-1,1,"Sydney",2010
582,"Auto Terminations","Illness Disability","Mould Repair",2000-02-26,-1,1,"Sydney",2000
583,"Auto Terminations","Retirement","C Shift",2011-04-03,-1,1,"Sydney",2011
584,"Auto Terminations","Resignation","Mould Repair",2008-08-09,-1,1,"Sydney",2008
585,"Auto Terminations","Resignation","A Shift",2008-08-09,-1,1,"Sydney",2008
587,"Termination (HR checklist)","Retrenchment","Maintenance-Cold End",2011-10-23,-1,1,"Sydney",2011
601,"Auto Terminations","Retrenchment(2008+)","Batch & Furnace",2013-12-29,-1,1,"Sydney",2013
602,"Auto Terminations","Dismissal","B Shift",2007-05-13,-1,1,"Sydney",2007
608,"Auto Terminations","Retirement","A Shift",2010-05-21,-1,1,"Sydney",2010
611,"Termination (HR checklist)","Retrenchment","Customer Technical Services",2017-07-02,-1,1,"Sydney",2017
613,"Auto Terminations","Resignation","Occupational Health & Safety",2001-09-08,-1,1,"Sydney",2001
614,"Auto Terminations","Resignation","Batch and Furnace",2002-04-10,-1,1,"Adelaide",2002
615,"Auto Terminations","Dismissal","Forming",2007-03-07,-1,1,"Sydney",2007
617,"Auto Terminations","Resignation","Batch & Furnace",2001-12-15,-1,1,"Sydney",2001
619,"Auto Terminations","Resignation","Operational Advancement",2017-08-17,-1,1,"Sydney",2017
620,"Auto Terminations","Dismissal","C Shift",2018-04-17,-1,1,"Sydney",2018
621,"Auto Terminations","Resignation","Engineering",2007-12-04,-1,1,"Sydney",2007
623,"Auto Terminations","Resignation","Occupational Health & Safety",2002-09-07,-1,1,"Sydney",2002
631,"Auto Terminations","Retrenchment(2008+)","Manufacturing",2013-11-13,-1,1,"Sydney",2013
634,"Auto Terminations","Resignation","Human Resources",2004-08-29,-1,1,"Sydney",2004
638,"Auto Terminations","Resignation","Manufacturing",2009-06-23,-1,1,"Melbourne",2009
640,"Auto Terminations","Resignation","Business Services",2003-09-01,-1,1,"Sydney",2003
643,"Auto Terminations","Resignation","Human Resources",2006-08-01,-1,1,"Sydney",2006
645,"Auto Terminations","Retrenchment(2008+)","Quality Services",2013-11-22,-1,1,"Sydney",2013
649,"Auto Terminations","Resignation","Mould Repair",2003-07-05,-1,1,"Sydney",2003
650,"Auto Terminations","Resignation","B Shift",2003-05-06,-1,1,"Sydney",2003
655,"Auto Terminations","Retirement","Quality Services",2016-07-02,-1,1,"Sydney",2016
656,"Auto Terminations","Resignation","C Shift",2004-04-07,-1,1,"Sydney",2004
660,"Auto Terminations","Resignation","ACI Glass Packaging Penrith",2003-08-23,-1,1,"Sydney",2003
661,"Auto Terminations","Resignation","Machine Maintenance",2002-08-17,-1,1,"Sydney",2002
662,"Auto Terminations","Resignation","Human Resources",2003-07-05,-1,1,"Sydney",2003
663,"Termination (HR checklist)","Retrenchment","Business Services",2002-12-19,-1,1,"Sydney",2002
665,"Auto Terminations","Resignation","Plant Procedures & Specifications (ISO)",2003-05-24,-1,1,"Sydney",2003
666,"Auto Terminations","Retrenchment(2008+)","D Shift",2013-11-13,-1,1,"Sydney",2013
